Scott Pinckney,1.814,291.2
Ernie Els,1.801,283.3
Jarrod Lyle,1.726,274.2
Brian Harman,1.760,285.1
Kevin Streelman,1.754,283.9
Keegan Bradley,1.833,292.2
Blayne Barber,1.795,279.2
Hunter Mahan,1.759,293.3
Derek Ernst,1.842,284.4
Miguel Angel Carballo,1.774,284.3
Zac Blair,1.776,271.0
Seung-Yul Noh,1.730,288.7
D.J. Trahan,1.762,282.4
Brendon Todd,1.774,274.3
Shane Lowry,1.780,288.3
Freddie Jacobson,1.717,275.9
Ryan Palmer,1.748,298.6
Tim Wilkinson,1.773,275.6
Chad Collins,1.775,273.8
Harris English,1.778,290.8
Tom Hoge,1.780,281.6
Kevin Chappell,1.760,285.3
Pat Perez,1.772,280.2
Luke List,1.796,294.2
Greg Owen,1.820,290.1
Bronson Burgoon,1.791,285.6
Matt Jones,1.752,289.8
Shane Bertsch,1.781,275.5
Andy Sullivan,1.806,276.9
Adam Scott,1.726,289.5
Jamie Lovemark,1.774,297.0
Angel Cabrera,1.787,290.6
Scott Piercy,1.765,294.1
Nicholas Thompson,1.837,270.2
Padraig Harrington,1.779,280.4
Henrik Norlander,1.780,276.1
Harold Varner III,1.779,291.8
Tony Finau,1.784,300.9
Patrick Reed,1.743,288.1
Carl Pettersson,1.734,280.4
Branden Grace,1.701,282.6
Bo Van Pelt,1.871,278.5
Bubba Watson,1.787,307.5
Spencer Levin,1.732,277.8
Jason Gore,1.730,281.2
Anirban Lahiri,1.700,286.0
